"ACELERAÇÃO DE ESTUDOS","ACELERAÇÃO DE ESTUDOS"
"PROGRAMA DE AMPLIAÇÃO DO ENSINO FUNDAMENTAL PARA 9 ANOS","PROGRAMA DE AMPLIAÇÃO DO ENSINO FUNDAMENTAL PARA 9 ANOS"
"PROGRAMA DE APOIO NA ELABORAÇÃO DO PLANO MUNICIPAL DE EDUCAÇÃO","PROGRAMA DE APOIO NA ELABORAÇÃO DO PLANO MUNICIPAL DE EDUCAÇÃO"
"PROGRAMA DE AVALIAÇÃO DO PLANO NACIONAL DE EDUCAÇÃO","PROGRAMA DE AVALIAÇÃO DO PLANO NACIONAL DE EDUCAÇÃO"
"PROGRAMA DE ENSINO DA SME - PROJETO MOBILAB STANDARD","PREFEITURA MUNICIPAL"
"PROGRAMA  DE FORMAÇÃO CONTINUADA","PROGRAMA DE FORMAÇÃO CONTINUADA"
"PROGRAMA DE FORMAÇÃO CONTINUADA","PROGRAMA DE FORMAÇÃO CONTINUADA"
"PROGRAMA DE FORTALCIMENTO INSTITUCIONAL DAS SMES","PROGRAMA DE FORTALCIMENTO INSTITUCIONAL DAS SMES"
"PROGRAMA DE IMPLANTAÇÃO DE SALAS DE RECURSOS - SEESP","SEESP - Programa de Implantação de Recursos Mulrifuncionais e Formação Continuada"
"PROGRAMA DE INCENTIVO À LEITURA - SEB","PROGRAMA DE INCENTIVO À LEITURA - SEB"
"PROGRAMA MANUEL BANDEIRA DE FORMAÇÃO DE LEITORES","PROGRAMA MANUEL BANDEIRA DE FORMAÇÃO DE LEITORES"
"Programa Nacional de AlimentaÃ§Ã£o Escolar (PNAE)","PNAE"
"PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR (  PNAE  ).","PNAE"
"PROGRAMA NACIONAL DE CAPACITAÇÃO DE CONSELHEIROS MUNICIPAIS DE EDUCAÇÃO","PROGRAMA NACIONAL DE CAPACITAÇÃO DE CONSELHEIROS MUNICIPAIS DE EDUCAÇÃO"
"PROGRAMA NACIONAL DE EDUCAÇÃO - PNE","PAR - PDE"
"PROGRAMA NACIONAL DE  FORTALECIMENTO DE CONSELHOS ESCOLARES/SEB/MEC.","PROGRAMA NACIONAL DE FORTALECIMENTO DOS CONSELHOS ESCOLARES"
"PROGRAMA NACIONAL DE FORTALECIMENTO DOS CONSELHOS ESCOLARES","PROGRAMA NACIONAL DE FORTALECIMENTO DOS CONSELHOS ESCOLARES"
"PROGRAMA NACIONAL ESCOLA","PROGRAMA NACIONAL ESCOLA DE GESTORES DA EDUCAÇÃO BÁSICA"
"Programa Nacional Escola de Gestores da EducaÃ§Ã£o BÃ¡sica","PROGRAMA NACIONAL ESCOLA DE GESTORES DA EDUCAÇÃO BÁSICA"
"PROGRAMA NACIONAL ESCOLA DE GESTORES DA EDUCAÇÃO BÁSICA","PROGRAMA NACIONAL ESCOLA DE GESTORES DA EDUCAÇÃO BÁSICA"
"PROGRAMA NAClONAL DE FORTALECIMENTO DOS CONSELHOS ESCOLARES","PROGRAMA NACIONAL DE FORTALECIMENTO DOS CONSELHOS ESCOLARES"
"PROINFANCIA","PRO-INFÂNCIA"
"PRO-INFÂNCIA","PRO-INFÂNCIA"
"PROINFANTIL","PROINFANTIL"
"PROINFO","PROINFO"
"PROINFO - INCLUSÃO DIGITAL","PROINFO - INCLUSÃO DIGITAL"
"PROINFO - PDDE","PROINFO - PDDE"
"PROJETO MAIS EDUCAÇÃO - ME,  EDUCAÇÃO ESPECIAL EQUIPAMENTOS","MAIS EDUCAÇÃO"
"PRÓ-LETRAMENTO","PRÓ-LETRAMENTO"
"PROUNI","PROUNI"
"PROVA CAUCAIA","PREFEITURA MUNICIPAL"
"PTA - COMPROMISSO","PAR - PDE"
"QUALIDADE SOCIAL DO ENSINO","QUALIDADE SOCIAL DO ENSINO"
"QUILOMBOLA","QUILOMBOLA"
"RÁDIO ESCOLA","RÁDIO ESCOLA"
"REDE DE FORMAÇÃO PARA DIVERSIDADE","SECAD - FORMAÇÃO PARA DIVERSIDADE - APERFEIÇOAMENTO"
"REDE DE FORMAÇÃO - SEB","REDE DE FORMAÇÃO - SEB"
"REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO"
"REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - ALFABETIZAÇÃO E LINGUAGEM","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - ALFABETIZAÇÃO E LINGUAGEM"
"REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - ALF. E LET. E EDUC. MATEMÁTICA","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - ALF. E LET. E EDUC. MATEMÁTICA"
"REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - ARTES E EDUCAÇÃO FÍSICA","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - ARTES E EDUCAÇÃO FÍSICA"
"REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - CIÊNCIAS HUMANAS E SOCIAIS","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - CIÊNCIAS HUMANAS E SOCIAIS"
"REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - COORDENADORES E SUPERVISORES PEDAGÓGICOS","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - COORDENADORES E SUPERVISORES PEDAGÓGICOS"
"REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - EDUC. MATEMÁTICA E CIENTÍFICA","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - EDUC. MATEMÁTICA E CIENTÍFICA"
"REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - PROFESSORES ED. INFANTIL","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - PROFESSORES ED. INFANTIL"
"REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - ALFABETIZAÇÃO E LINGUAGEM","REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - ALFABETIZAÇÃO E LINGUAGEM"
"REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - ARTES E EDUCAÇÃO FÍSICA","REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - ARTES E EDUCAÇÃO FÍSICA"
"REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - CIÊNCIAS HUMANAS E SOCIAIS","REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - CIÊNCIAS HUMANAS E SOCIAIS"
"REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - EDUC. MATEMÁTICA E CIENTÍFICA","REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - EDUC. MATEMÁTICA E CIENTÍFICA"
"REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - PROFESSORES ANOS INICIAIS E.F.","REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - PROFESSORES ANOS INICIAIS E.F."
"REDE / FORMAÇÃO PARA DIVERSIDADE","REDE DE FORMAÇÃO PARA DIVERSIDADE"
"REDE METROPOLITANA","REDE METROPOLITANA"
"REDE SOCIAL EDUCATIVA","REDE SOCIAL EDUCATIVA"
"RELAÇÕES ÉTNICO-RACIAIS","SECAD - FORMAÇÃO PARA DIVERSIDADE - RELAÇÕES ÉTNICO-RACIAIS"
"SABERES DA TERRA","SABERES DA TERRA"
"SEB","SEB"
"SEB/Escola de Gestores","PROGRAMA NACIONAL ESCOLA DE GESTORES DA EDUCAÇÃO BÁSICA"
"SEB e SECAD - Rede de Formação/Aperf. Prof. Educ. Infantil","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - PROFESSORES ED. INFANTIL"
"SEB e SECAD - Rede de Formação/Especialização Prof. Educ. Infantil","REDE DE FORMAÇÃO - SEB - ESPECIALIZAÇÃO - PROFESSORES ED. INFANTIL"
"SEB - FORMAÇÃO CONTINUADA NA ÁREA DE EDUCAÇÃO MATEMÁTICA E CIENTÍFICA","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - EDUC. MATEMÁTICA E CIENTÍFICA"
"SEB - FORMAÇÃO NA ÁREA DE ENSINO DE CIÊNCIAS HUMANAS E SOCIAIS","REDE DE FORMAÇÃO - SEB - APERFEIÇOAMENTO - CIÊNCIAS HUMANAS E SOCIAIS"
"SEB - Guia Curricular","SEB - Guia Curricular"
"SEB - Guia de Tecnologias Educacionais","GUIA DE TECNOLOGIAS EDUCACIONAIS"
"SEB- GUIA DE TECNOLOGIAS  EDUCACIONAIS","GUIA DE TECNOLOGIAS EDUCACIONAIS"
"SEB - PNE","PROGRAMA DE AVALIAÇÃO DO PLANO NACIONAL DE EDUCAÇÃO"
"SEB/PrÃ³-Conselho","PROGRAMA NACIONAL DE CAPACITAÇÃO DE CONSELHEIROS MUNICIPAIS DE EDUCAÇÃO"
"SEB - PRADIME","PRADIME"
"SEB/PRADIME","PRADIME"
"SEB - Pró-Conselho","PROGRAMA NACIONAL DE CAPACITAÇÃO DE CONSELHEIROS MUNICIPAIS DE EDUCAÇÃO"
"SEB/Pró-Conselho","PROGRAMA NACIONAL DE CAPACITAÇÃO DE CONSELHEIROS MUNICIPAIS DE EDUCAÇÃO"
"SEB - Proformação","PROFORMAÇÃO"
"SEB - Profuncionário - Alimentação Escolar","PROFUNCIONÁRIO - ALIMENTAÇÃO ESCOLAR"
"SEB - Profuncionário - Gestão Escolar","PROFUNCIONÁRIO - GESTÃO ESCOLAR"
"SEB - Profuncionário - Meio Amb. e Manut. de Infra-estrutura Escolar.","PROFUNCIONÁRIO - MEIO AMBIENTE  E MANUTENÇÃO E INFRA-ESTRUTURA ESCOLAR"
"SEB - Profuncionário - Multimeios Didáticos","PROFUNCIONÁRIO - MULTIMEIOS DIDÁTICOS"
"SEB - Prog. Ampliação do EF p/ 9 anos","PROGRAMA DE AMPLIAÇÃO DO ENSINO FUNDAMENTAL PARA 9 ANOS"
"SEB - Prog. de Aval do PNE","PROGRAMA DE AVALIAÇÃO DO PLANO NACIONAL DE EDUCAÇÃO"
"SEB -  Prog Nac Esc de Gestores da EB","PROGRAMA NACIONAL ESCOLA DE GESTORES DA EDUCAÇÃO BÁSICA"
"SEB - Programa de Incentivo à Leitura","PROGRAMA DE INCENTIVO À LEITURA - SEB"
"SEB -  Progr Nac de Fortalecimento dos CE","PROGRAMA NACIONAL DE FORTALECIMENTO DOS CONSELHOS ESCOLARES"
"SEB -  Progr Nac de Fortalecimento dos CE			","PROGRAMA NACIONAL DE FORTALECIMENTO DOS CONSELHOS ESCOLARES"
"SEB - Progr Nacional Biblioteca da Escola (PNBE)","PNBE"
"SEB - Proinfantil","PROINFANTIL"
"SEB - PRO-LETRAMENTO","PRÓ-LETRAMENTO"
